"","group","s__Actinomyces_graevenitzii","s__Rothia_mucilaginosa","s__Collinsella_aerofaciens","s__Bacteroides_coprocola","s__Bacteroides_dorei","s__Bacteroides_plebeius","s__Butyricimonas_synergistica","s__Parabacteroides_goldsteinii","s__Porphyromonas_gingivalis","s__Alloprevotella_unclassified","s__Paraprevotella_clara","s__Prevotella_copri","s__Prevotella_histicola","s__Prevotella_melaninogenica","s__Prevotella_pallens","s__Gemella_haemolysans","s__Lactobacillus_crispatus","s__Lactobacillus_salivarius","s__Streptococcus_downei","s__Clostridium_asparagiforme","s__Pseudoflavonifractor_capillosus","s__Eubacterium_limosum","s__Coprococcus_eutactus","s__Oribacterium_sinus","s__Catenibacterium_mitsuokai","s__Erysipelotrichaceae_bacterium_2_2_44A","s__Anaeroglobus_geminatus","s__Megamonas_funiformis","s__Fusobacterium_mortiferum","s__Sutterella_wadsworthensis","s__Aeromonas_veronii","s__Klebsiella_unclassified","s__Aggregatibacter_aphrophilus","cluster"
"73","0",0.04639,0,2.43721,0,0.24844,0,0,0,0,0,0.40072,0,0,0,0,0,0,0,0,0.05669,0,0,0,0,0,0,0,0,0,8.17127,0,0,0,2
"74","1",0,0,4.26578,0.64078,0.01947,0,0,0,0,0,0,0,0,0,0,0.00012,0,0,0,0,0.00526,0,0,0,0,0,0,0,0,0,0,0,0,2
"75","1",0,0,0.03006,2.81541,7.4026,4.54828,0,0,0,0,0.82339,0,0,0,0,0,0,0,0,0.06133,0.0077,0,0,0,0,0,0,0,0,0,0,0.02104,0,1
"76","1",0,0.00103,0.28317,1.57942,0.03161,4.68457,0,0.06162,0,0,0,0,0,0,0,0,0,0,0,0.01706,0.04281,0,0,0,0,0,0,0,0,2.37858,0,0,0,1
"77","1",0,0,1.06687,0,1.91869,0,0.00377,0.22315,0,0,0,0,0,0,0,0,0.00219,0.01973,0,0.03632,0.04192,0.00143,0,0,0,0,0,0,0,2.5274,0,0,0,2
"78","1",0,0,0,0.06517,2.39087,0,0,0,0,0,0.15275,0,0,0,0,0,0,0,0,0.00047,0.00292,0,0,0,0,0.00139,0,0,0,0.09007,0,0,0,1
"79","1",0,0.00461,1.26478,0,0.14783,0,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0.01106,0.0084,0,0,0,0,0.0032,0,0,0,1.04245,0,0,0,2
"80","1",0,0,2.64967,0,4.89027,0,0,1.42183,0,0,0,0,0,0,0,0,0,0,0,0,0.01741,0,0,0,0,0,0.0083,0,0,0.42242,0,0,0,2
"81","0",0,0,1.23047,0,0.50237,0,0,0.0865,0,0,0,0,0,0,0,0,0,0,0,0,0.00768,0,0,0,0,0,0,0,0,1.57266,0,0,0,2
"82","0",0,0,1.6252,0,0.27526,0,0,0,0,0,0,13.55093,0,0,0,0,0,0,0,0,0,0,2.0834,0,1.26385,0,0,0,0,0.18625,0,0,0,1
